	Unnamed: 0	gene_id	gene_type	logFC	AveExpr
241	12564	AFAP1-AS1	antisense	0.20447747	0.244422923
242	18492	RN7SKP186	misc_RNA	0.241945967	-0.503013939
243	9016	DNER	protein_coding	0.401619568	-1.158390425
244	3666	RN7SL861P	misc_RNA	0.217934864	0.316407486
245	9192	ENSG00000232328	lincRNA	0.270859863	-0.232151998
246	2937	PDIA3P1	transcribed_processed_pseudogene	0.190608895	3.140840114
247	1867	RPS29P7	processed_pseudogene	0.18219776	1.626958788
248	13271	GNRHR	protein_coding	0.177968299	2.668658621
249	17607	PDLIM7-AS1	antisense	0.186556083	1.461026955
250	1194	EPHA10	protein_coding	0.259542081	1.102589445
251	14526	ENSG00000251123	processed_pseudogene	0.22569276	-0.16995767
252	6183	CDPF1P1	processed_pseudogene	0.220272282	0.649241253
253	5617	ENSG00000227047	lincRNA	0.229507019	4.891258592
254	8525	TRAK2	protein_coding	0.190688466	0.724549796
255	15120	NENFP3	processed_pseudogene	0.226315612	0.588016588
256	7248	MALLP1	transcribed_unprocessed_pseudogene	0.227809056	0.989744153
257	5701	ASXL2	protein_coding	-0.229945412	0.620349494
258	255	ENSG00000284744	lincRNA	0.172357912	-0.204885063
259	11945	ZNF639	protein_coding	0.18197503	5.905686239
260	14806	RPSAP70	processed_pseudogene	0.291393975	-1.226417229
261	3089	ENSG00000259357	antisense	0.261223939	-1.177744402
262	2550	ENSG00000259834	lincRNA	0.194288243	0.200820149
263	5381	ALLC	protein_coding	0.197789469	0.463357555
264	5747	PRR30	protein_coding	0.1835956	1.474245866
265	1848	ENSG00000284928	lincRNA	0.179878849	2.765764815
266	7124	ENSG00000227157	lincRNA	-0.206226083	3.899213421
267	7473	TEX51	protein_coding	0.215232521	1.095045865
268	18691	SLC39A7	protein_coding	0.210549138	1.910463919
269	523	ZBTB17	protein_coding	0.198099349	-1.294102772
270	11316	HMGB3P13	processed_pseudogene	0.214036195	2.955226832
271	2516	GSTM3	protein_coding	0.208866074	5.053600373
272	10495	UBE2Q2P9	processed_pseudogene	0.17222138	5.710138764
273	11493	LINC02010	lincRNA	0.21064046	1.374342363
274	12984	BEND4	protein_coding	0.194413911	0.982588177
275	6769	FOXI3	protein_coding	0.21607665	1.346016532
276	3489	OR10X1	protein_coding	0.262287437	0.308218523
277	11081	7SK	misc_RNA	0.181774218	0.109723895
278	9524	LINC01267	lincRNA	0.209853411	3.183884878
279	16623	ENSG00000249577	processed_pseudogene	-0.267039804	0.923096079
280	8022	TTC21B-AS1	processed_transcript	0.166722984	1.84149466
281	7781	GTDC1	protein_coding	0.176058843	3.346780269
282	12903	ENSG00000271958	lincRNA	0.206594242	2.957099291
283	13738	ADH6	protein_coding	0.205381242	1.986145358
284	2832	ENSG00000270962	processed_pseudogene	0.179515831	8.162445626
285	140	CALML6	protein_coding	0.272256012	-1.437929182
286	5121	MAP1LC3C	protein_coding	0.212664536	0.252389111
287	1531	ENSG00000225028	lincRNA	-0.209765924	5.389997543
288	11625	GPR149	protein_coding	0.217773811	-0.334996019
289	7007	ENSG00000277701	lincRNA	0.185444317	0.597685048
290	17151	GRPEL2	protein_coding	-0.1928867	4.55843728
291	8597	ENSG00000233459	processed_pseudogene	0.195958573	1.343587236
292	2865	LINC01632	lincRNA	-0.185588094	2.144082146
293	8343	GULP1	protein_coding	-0.194770633	-1.316905662
294	5763	ZNF513	protein_coding	0.172492431	1.893666908
295	14151	ENSG00000249000	lincRNA	0.195991633	0.648883573
296	16196	ENSG00000241059	antisense	0.263058701	-1.198917528
297	10011	ENSG00000251967	snoRNA	0.16942973	5.297850876
298	1471	TMA16P2	processed_pseudogene	0.218643115	-1.38216053
299	920	ENSG00000269971	sense_intronic	0.147486588	0.705448612
300	13615	HSD17B11	protein_coding	0.179632947	3.801184119
301	17433	MIR378E	miRNA	0.198086579	2.326138245
302	8749	BARD1	protein_coding	0.202842427	-0.058685755
303	3377	KHDC4	protein_coding	0.216240835	3.125187512
304	8252	ENSG00000271011	antisense	0.360638618	-1.162946838
305	14829	LINC02492	lincRNA	0.211688208	0.672948756
306	5514	RN7SL674P	misc_RNA	0.241712832	1.010237378
307	5904	STRN	protein_coding	-0.178490327	6.838623438
308	8473	LINC01877	lincRNA	-0.218760683	-1.341265119
309	10174	LSMEM2	protein_coding	0.304821121	-1.490630535
310	6853	IGKV3D-20	IG_V_gene	0.2206853	0.155022298
311	9388	LMCD1-AS1	antisense	0.187845102	-1.083977573
312	1996	ENSG00000213579	processed_pseudogene	0.206609827	-0.817636167
313	3481	OR10K1	protein_coding	0.170901979	1.419743936
314	10029	MRPL57P3	processed_pseudogene	0.158443995	5.274509222
315	9344	CNTN4-AS2	lincRNA	-0.190058702	4.361543901
316	9262	ANKMY1	protein_coding	0.168058943	0.926679651
317	14463	TDO2	protein_coding	0.213188016	-1.398022314
318	7626	MED15P3	processed_pseudogene	0.231429649	0.84363739
319	8531	MTATP6P16	unprocessed_pseudogene	0.173229625	2.204325474
320	1904	HNRNPCP9	processed_pseudogene	0.18773605	1.278119246
321	15036	ENSG00000251549	unprocessed_pseudogene	0.175296027	1.689009815
322	12542	ENSG00000284847	unprocessed_pseudogene	0.18494098	-0.468131158
323	4843	ENSG00000269934	antisense	0.183316384	2.577248394
324	11457	U2SURP	protein_coding	0.183737759	1.031430647
325	3189	KPRP	protein_coding	0.190565482	3.011826606
326	9865	RPL14	protein_coding	0.249334587	-1.343039654
327	5930	CYP1B1-AS1	antisense	0.300068445	-1.586110951
328	602	ENSG00000280222	TEC	0.242295243	-1.529466263
329	8747	VWC2L-IT1	sense_intronic	0.233445882	-1.614962365
330	8129	SP3	protein_coding	0.206478016	-0.365559407
331	3368	YY1AP1	protein_coding	0.17162968	0.360148172
332	4927	ENSG00000223393	antisense	0.194791653	1.257741108
333	11822	KRT18P43	processed_pseudogene	0.207471302	-1.320270122
334	4453	ENSG00000224114	processed_pseudogene	0.22528429	0.385670864
335	11359	KRT8P36	processed_pseudogene	0.196776428	-1.450511983
336	11996	ENSG00000278026	misc_RNA	0.204778143	-1.232662457
337	11167	RNU2-37P	snRNA	-0.184082127	0.930762681
338	8149	ENSG00000236449	antisense	-0.204888211	0.236545922
339	6302	OTX1	protein_coding	-0.190409397	4.919172543
340	4856	H2BU2P	unitary_pseudogene	0.235164386	0.510973507
341	9992	CXCR6	protein_coding	0.242384161	-1.556999068
342	14245	LINC02276	lincRNA	0.232352921	0.567707517
343	6528	BOLA3	protein_coding	0.162245207	2.864561984
344	14605	RNY4P17	misc_RNA	0.265914192	-1.417498352
345	8296	RPL31P15	processed_pseudogene	0.213602957	1.483121535
346	15877	ENSG00000285804	antisense	0.224680506	-0.910921257
347	6092	Metazoa_SRP	misc_RNA	0.267204942	0.781258593
348	15581	PELO	protein_coding	0.192047357	-0.553662513
349	9991	FYCO1	protein_coding	0.21365355	-0.772475493
350	15840	GUSBP13	unprocessed_pseudogene	0.20397897	-1.317641235
351	17227	RPLP1P6	transcribed_processed_pseudogene	0.197388312	-0.312111496
352	1614	PDCL3P6	processed_pseudogene	0.235549643	1.28618386
353	554	LINC01783	lincRNA	0.204538956	3.388179336
354	9989	CCR9	protein_coding	0.185212732	0.409314498
355	10927	DRD3	protein_coding	0.186758222	0.488103015
356	2980	Y_RNA	misc_RNA	0.162689737	2.132730727
357	5623	GDF7	protein_coding	0.241590442	-1.230124036
358	5813	ENSG00000229224	antisense	0.188394432	-0.378388374
359	18942	ENSG00000237107	processed_pseudogene	0.156203536	4.744311937
360	14190	ENSG00000250977	lincRNA	0.201992554	-1.395392319
361	2672	NGF	protein_coding	0.160489853	1.416192965
362	16639	ENSG00000248634	sense_intronic	0.165695552	0.124019009
363	18661	HLA-DQA2	protein_coding	0.179162618	0.588080585
364	8074	ENSG00000213981	antisense	0.214114834	-0.029786899
365	16174	LINC02161	lincRNA	0.247366868	-1.504497531
366	1313	FOXO6	protein_coding	0.175562728	0.406838028
367	9151	ENSG00000248705	unprocessed_pseudogene	0.209513161	0.247967217
368	1654	ENSG00000236723	antisense	-0.179883386	5.675832258
369	17835	ENSG00000238158	sense_overlapping	0.180460874	4.010043043
370	12047	HTR3C	protein_coding	0.201660027	-0.688070187
371	14956	LSINCT5	lincRNA	-0.202931326	-0.989814593
372	2046	PTGFR	protein_coding	0.166214229	0.719272678
373	11563	EIF2A	protein_coding	0.27956392	-0.608734401
374	17703	ENSG00000229721	processed_pseudogene	0.233683532	-0.285224475
375	14213	FTH1P24	processed_pseudogene	0.148033951	0.73586146
376	13485	CXCL13	protein_coding	0.161617457	2.485011351
377	7094	IL1R2	protein_coding	0.182283246	3.849797198
378	12771	ADGRA3	protein_coding	0.158007414	1.594280476
379	15496	GHR	protein_coding	0.164659867	2.223416613
380	8273	FTH1P20	processed_pseudogene	0.252643763	-1.363388084
381	718	ZBTB40-IT1	sense_intronic	-0.237650359	0.667023405
382	6394	ENSG00000273398	protein_coding	-0.207832177	0.999439455
383	15111	RNU6-429P	snRNA	0.188422317	3.223940292
384	6972	CIAO1	protein_coding	0.176023945	0.64465303
385	13774	ENSG00000248161	lincRNA	0.216183224	2.823444775
386	1159	SH3D21	protein_coding	0.173366526	1.494147953
387	7904	NR4A2	protein_coding	0.187357026	2.038604228
388	1799	RPS15AP7	processed_pseudogene	0.226849743	-1.196987803
389	2919	NUDT4P2	processed_pseudogene	-0.157812625	4.110828824
390	17511	LINC01863	lincRNA	0.17894296	0.775139788
391	2023	ZZZ3	protein_coding	0.218059689	-1.094906116
392	18531	ENSG00000285647	lincRNA	-0.196845755	3.904158913
393	5822	SNORA10B	snoRNA	0.198731443	-1.196924836
394	7196	SULT1C3	protein_coding	0.15943511	0.613626168
395	17807	ENSG00000232999	unprocessed_pseudogene	-0.236594351	-1.315393507
396	13458	STBD1	protein_coding	0.198125303	0.25243304
397	1989	ENSG00000224127	antisense	0.19388379	3.428568045
398	603	IGSF21-AS1	antisense	0.21343647	4.701625198
399	18036	MIR4639	miRNA	0.211124688	-0.026034374
400	11640	ENSG00000248772	unprocessed_pseudogene	-0.217929816	0.669948801
401	15082	CCT5	protein_coding	0.198514763	0.528766146
402	116	ATAD3C	protein_coding	0.175649483	0.101119542
403	8877	GLB1L	protein_coding	0.180999348	3.925843594
404	15045	MTND6P2	processed_pseudogene	0.224262479	-0.440519657
405	18548	DDX39B	protein_coding	0.206802462	-0.924247863
406	1941	HHLA3-AS1	antisense	0.203336734	-1.299619951
407	12141	ST6GAL1	protein_coding	-0.21654171	5.414954629
408	8295	DNAJC10	protein_coding	0.228087359	-1.439470304
409	3962	RALGPS2	protein_coding	0.191687305	-1.082459343
410	12009	RPL7L1P8	processed_pseudogene	0.228638624	-1.437597073
411	10507	RNU1-62P	snRNA	0.199858058	4.260280693
412	5306	ENSG00000276520	processed_pseudogene	-0.181336326	5.873232595
413	8896	ASIC4	protein_coding	0.209255887	-0.857610204
414	14613	PTGES3P3	processed_pseudogene	0.218441651	2.047415361
415	9706	GADL1	protein_coding	0.213912474	-1.421930547
416	13213	MIR548AG1	miRNA	0.171072205	2.386927066
417	14018	ENSG00000253825	lincRNA	0.223623946	-1.522030337
418	9471	ENSG00000271716	antisense	0.218044065	-0.672035426
419	17544	ENSG00000280068	TEC	0.174501286	-0.113048244
420	1006	SELENOWP1	processed_pseudogene	0.201862989	-0.719302236
421	7008	ENSG00000237837	lincRNA	0.174851447	5.280636335
422	553	ENSG00000224174	lincRNA	0.20931059	2.159882563
423	8053	BBS5	protein_coding	-0.22044743	-1.136810001
424	18105	ENSG00000261568	lincRNA	0.245536939	-0.366327181
425	8008	SNORA70F	snoRNA	0.224635843	-1.509424506
426	6781	IGKJ4	IG_J_gene	0.142711134	5.274218348
427	17203	TNIP1	protein_coding	0.203641656	0.658194465
428	15081	ENSG00000248968	antisense	0.175209426	0.71282745
429	5586	NT5C1B	protein_coding	0.215597239	2.196439845
430	7982	ENSG00000226946	processed_pseudogene	0.159395938	2.336406189
431	297	RPL23AP19	processed_pseudogene	0.192410967	1.197890299
432	6398	ENSG00000273064	antisense	0.18086792	-0.637201573
433	18342	TRIM27	protein_coding	0.223288818	-1.560570494
434	12323	NRROS	protein_coding	0.164617515	1.497090858
435	7778	ENSG00000236356	lincRNA	0.184432238	-1.392705452
436	3924	LINC01657	lincRNA	0.170521142	0.455606569
437	8444	RPL4P7	processed_pseudogene	0.166163503	-0.237599013
