	gene_id	gene_type	logFC	AveExpr
13002	ENSG00000239679.3	misc_RNA	0.521982974	-0.60360027
1178	ENSG00000252368.1	rRNA_pseudogene	0.208843979	3.353114928
2552	ENSG00000199710.1	misc_RNA	0.278059096	0.850219254
11509	ENSG00000242440.1	lincRNA	0.252685271	1.810623158
434	ENSG00000116726.4	protein_coding	0.256963605	-1.377164243
5746	ENSG00000138073.13	protein_coding	0.293577869	-0.699814186
5244	ENSG00000230411.1	unprocessed_pseudogene	0.288383156	1.24958251
8284	ENSG00000234595.1	antisense	0.300160833	-1.410667955
5642	ENSG00000206882.1	rRNA_pseudogene	0.264872392	0.038582105
1441	ENSG00000268949.1	processed_pseudogene	0.241785872	1.406514565
12781	ENSG00000251292.1	lincRNA	0.281733121	1.711738808
790	ENSG00000238482.1	snRNA	0.280388627	-1.362526516
14506	ENSG00000164123.6	protein_coding	0.375996485	-0.75805077
14549	ENSG00000244146.1	processed_pseudogene	0.303900668	-1.009996434
14696	ENSG00000038002.8	protein_coding	0.24030901	0.110016233
16848	ENSG00000120733.13	protein_coding	0.242782058	0.861453983
9526	ENSG00000131389.17	protein_coding	0.354269524	-1.465544574
14565	ENSG00000250430.1	processed_pseudogene	0.281158718	4.218393241
4327	ENSG00000184774.10	transcribed_unitary_pseudogene	0.212109555	0.868396987
6968	ENSG00000228873.1	lincRNA	0.236125571	0.566739773
10741	ENSG00000181458.10	protein_coding	0.2179448	0.93952318
16941	ENSG00000202515.1	misc_RNA	0.278972629	-0.745805992
15627	ENSG00000251307.1	antisense	0.224774232	4.82656823
9688	ENSG00000206559.7	protein_coding	0.223099441	3.600058817
9190	ENSG00000231546.1	transcribed_processed_pseudogene	0.301927367	0.131654971
9525	ENSG00000199609.1	rRNA_pseudogene	0.270374015	1.54177866
2881	ENSG00000276216.1	lincRNA	0.217955046	-0.139224681
15280	ENSG00000249616.1	processed_pseudogene	0.323006567	-0.4882957
3162	ENSG00000226716.1	antisense	0.270715843	-0.671207011
8078	ENSG00000234350.4	lincRNA	0.225904837	-1.092955007
9340	ENSG00000214073.2	processed_pseudogene	0.324389099	-1.387835408
8858	ENSG00000163497.2	protein_coding	0.302184011	-0.751950724
12772	ENSG00000244538.1	processed_pseudogene	0.197837811	2.334666075
998	ENSG00000223382.4	lincRNA	-0.23913214	0.017860276
2012	ENSG00000199921.1	snRNA	0.210613776	1.381990877
9173	ENSG00000226542.1	lincRNA	0.259281711	0.443072771
9191	ENSG00000144476.5	protein_coding	0.252822292	4.534627827
7903	ENSG00000282440.1	lincRNA	0.217627933	0.715587454
1525	ENSG00000271355.1	processed_pseudogene	-0.28618129	1.354628265
704	ENSG00000228397.2	lincRNA	0.263617807	1.502755915
6327	ENSG00000283222.1	miRNA	0.261779522	0.518076182
7790	ENSG00000226674.9	lincRNA	0.232244519	3.345754954
16609	ENSG00000213630.3	processed_pseudogene	-0.262099718	1.281280947
8916	ENSG00000235337.1	lincRNA	0.269768877	-0.241402344
9776	ENSG00000230067.3	transcribed_processed_pseudogene	0.267173508	0.605981646
4785	ENSG00000183814.15	protein_coding	0.261343274	0.708994955
4049	ENSG00000271269.1	processed_pseudogene	0.217519344	-0.204198299
8075	ENSG00000275414.1	misc_RNA	0.268392336	0.37681796
4845	ENSG00000270104.1	lincRNA	-0.260613555	-0.569554327
10615	ENSG00000241328.1	lincRNA	-0.235246377	0.227585435
18734	ENSG00000271362.1	processed_pseudogene	0.244847586	-0.573349141
2889	ENSG00000272150.5	transcribed_unprocessed_pseudogene	0.242317804	1.854362623
3882	ENSG00000238272.1	antisense	0.390146364	-1.462599498
1790	ENSG00000271200.1	lincRNA	0.259315481	1.738764457
10968	ENSG00000251012.2	protein_coding	0.227423485	-1.226676279
15848	ENSG00000254701.3	unprocessed_pseudogene	0.221644918	2.649036513
3051	ENSG00000143401.14	protein_coding	0.246702173	-0.045063585
15722	ENSG00000251682.1	processed_pseudogene	0.270357258	1.482787425
9978	ENSG00000011376.10	protein_coding	0.260914112	-0.323626691
14886	ENSG00000199540.1	misc_RNA	0.23526511	1.581509908
15721	ENSG00000130449.5	protein_coding	0.359056731	-1.615313776
12583	ENSG00000250915.1	lincRNA	0.196208301	1.206090618
4375	ENSG00000225522.2	processed_pseudogene	0.262519737	0.403210012
15334	ENSG00000266243.1	miRNA	0.324071175	5.635526699
14543	ENSG00000223037.1	snRNA	0.267027924	0.225855874
5888	ENSG00000226994.7	lincRNA	0.225777183	1.227345427
18599	ENSG00000204387.13	protein_coding	0.244744318	-0.103534511
6664	ENSG00000260840.1	lincRNA	0.20593395	1.474562132
14005	ENSG00000201186.1	snRNA	0.237592332	-0.923456125
12720	ENSG00000137440.4	protein_coding	0.227102475	-0.747255998
11055	ENSG00000065485.19	protein_coding	-0.259398441	-1.093925336
10415	ENSG00000239653.1	antisense	0.234668214	-0.992216478
14868	ENSG00000250053.1	processed_pseudogene	-0.294401956	-1.405978942
2906	ENSG00000271601.3	protein_coding	0.189785367	6.029075095
18534	ENSG00000223702.1	processed_pseudogene	0.29838006	-0.989338076
8452	ENSG00000206836.1	snRNA	0.19922649	2.09461125
7500	ENSG00000202532.1	snRNA	0.193719856	5.911258071
16145	ENSG00000249061.1	lincRNA	0.295099838	-0.671977887
8834	ENSG00000135913.10	protein_coding	0.272321758	-0.05000264
4445	ENSG00000261000.1	lincRNA	0.217962804	0.482604073
15281	ENSG00000113100.9	protein_coding	0.284694296	-0.09314353
9529	ENSG00000234123.1	processed_pseudogene	0.30616363	-1.413222109
1777	ENSG00000265535.2	misc_RNA	0.21427443	3.367053758
18726	ENSG00000197251.3	lincRNA	0.20120356	4.010510886
3938	ENSG00000237514.3	processed_pseudogene	0.233286005	-0.67056106
4598	ENSG00000230461.8	processed_transcript	0.222302069	0.858131156
15360	ENSG00000250583.1	lincRNA	0.21671292	0.952671489
14238	ENSG00000222613.1	misc_RNA	0.167515721	7.846221535
15285	ENSG00000250079.1	processed_pseudogene	0.293142351	4.627504713
11895	ENSG00000226779.1	antisense	0.232211419	-1.349927538
9043	ENSG00000201044.1	snRNA	0.299951705	0.890911778
5681	ENSG00000184924.5	protein_coding	0.255411607	-1.335194441
14641	ENSG00000221296.2	miRNA	0.240743414	0.165150581
14547	ENSG00000248329.5	protein_coding	0.286472731	-1.000315584
15952	ENSG00000242198.1	processed_pseudogene	0.207268578	2.513678805
4378	ENSG00000143850.14	protein_coding	0.2742067	0.67849191
14310	ENSG00000280250.1	TEC	0.20676615	2.432321593
18562	ENSG00000204469.12	protein_coding	0.193045122	0.261482805
6634	ENSG00000242118.3	misc_RNA	0.264502278	-1.035940274
6992	ENSG00000252845.1	rRNA_pseudogene	0.237165963	-0.134827553
5248	ENSG00000241128.2	protein_coding	0.216556312	-0.023426894
137	ENSG00000008130.15	protein_coding	0.220706889	0.994542062
16776	ENSG00000249192.1	processed_pseudogene	0.254976007	-0.039750668
2673	ENSG00000226973.1	unprocessed_pseudogene	0.178642335	2.194820235
15006	ENSG00000112941.13	protein_coding	0.183549037	3.221811066
10212	ENSG00000214686.5	protein_coding	0.232773508	1.128493268
1966	ENSG00000285808.1	lincRNA	0.221042842	-0.706503724
2553	ENSG00000237415.2	processed_pseudogene	0.23259321	1.622490342
15431	ENSG00000248587.7	antisense	0.205911963	2.609817475
4086	ENSG00000260976.1	lincRNA	0.220326558	-0.398552644
703	ENSG00000201273.1	snRNA	0.209113813	3.034904635
14158	ENSG00000283432.1	snRNA	0.208577906	2.107810043
12017	ENSG00000043093.13	protein_coding	0.277566278	0.838871112
8003	ENSG00000229641.1	processed_pseudogene	0.231330992	4.19556923
13426	ENSG00000249717.1	antisense	-0.226425405	-0.549828401
6932	ENSG00000204705.3	unprocessed_pseudogene	0.199593764	1.078172198
11751	ENSG00000243044.1	processed_pseudogene	0.444545017	-1.262953928
14269	ENSG00000197465.13	protein_coding	0.189056713	0.669040987
15994	ENSG00000250802.7	antisense	0.228496573	0.92405283
835	ENSG00000158014.14	protein_coding	0.203874344	-0.575972598
18748	ENSG00000124614.15	protein_coding	0.218694658	0.267030746
3313	ENSG00000163346.16	protein_coding	0.23208493	0.905869052
9984	ENSG00000279017.1	TEC	0.256911567	1.87022312
6495	ENSG00000135631.16	protein_coding	0.217130578	-1.272290219
3583	ENSG00000226003.2	processed_pseudogene	0.185487239	0.848715551
6718	ENSG00000115548.16	protein_coding	0.180453227	3.515830116
2317	ENSG00000228971.2	lincRNA	-0.238767178	-1.225089385
15066	ENSG00000169777.6	protein_coding	-0.276577384	5.967035929
2286	ENSG00000233129.1	processed_pseudogene	0.200733121	1.216148933
1902	ENSG00000238139.2	processed_pseudogene	0.254679448	-1.186182912
10249	ENSG00000239557.1	processed_pseudogene	-0.203284422	-1.251152621
7364	ENSG00000234199.2	lincRNA	0.256715586	1.021763058
5702	ENSG00000187536.4	processed_pseudogene	0.242374055	-1.12858967
14551	ENSG00000221891.2	processed_pseudogene	-0.229153239	-1.136721264
11805	ENSG00000085276.17	protein_coding	0.188033965	0.809016083
8735	ENSG00000283637.1	miRNA	0.22244151	-1.353121465
16074	ENSG00000131730.15	protein_coding	0.273186377	2.60180066
17873	ENSG00000265083.1	miRNA	0.209195119	0.726927306
2013	ENSG00000237552.1	lincRNA	0.204465407	0.25106621
16270	ENSG00000200884.1	misc_RNA	0.287956657	-1.462273814
2270	ENSG00000137942.16	protein_coding	-0.209039608	4.225404393
4056	ENSG00000226570.2	processed_pseudogene	0.219884669	0.218826959
12894	ENSG00000251332.1	processed_pseudogene	0.18989733	2.550651264
908	ENSG00000000938.12	protein_coding	0.238257688	-1.30825926
2096	ENSG00000142875.19	protein_coding	0.219269821	4.389909198
5316	ENSG00000200495.1	snRNA	0.173564024	5.56140906
13568	ENSG00000274154.1	processed_pseudogene	0.238655156	-1.274901051
6088	ENSG00000236824.2	scRNA	0.204357529	1.508032961
612	ENSG00000265606.1	miRNA	0.212743563	0.460469397
1868	ENSG00000116675.15	protein_coding	0.206863491	1.030155518
1439	ENSG00000229815.1	processed_pseudogene	0.184834841	2.450062541
6322	ENSG00000230923.2	lincRNA	0.31716348	-1.554757685
4316	ENSG00000232626.3	transcribed_processed_pseudogene	0.256919192	-1.250987713
14968	ENSG00000259603.1	antisense	0.243307412	-0.75858092
7265	ENSG00000169679.14	protein_coding	-0.248275212	7.356887006
3222	ENSG00000207321.1	snRNA	0.300481174	-1.254898731
15499	ENSG00000270513.1	processed_pseudogene	0.224457084	-1.108802769
12758	ENSG00000248228.1	sense_intronic	-0.212724114	-1.025976777
7627	ENSG00000276460.1	unprocessed_pseudogene	0.227744823	0.981886537
5084	ENSG00000215805.3	processed_pseudogene	0.196060616	-0.264812205
7563	ENSG00000271435.1	processed_pseudogene	0.173693491	1.379702476
13901	ENSG00000241722.2	processed_pseudogene	0.311582753	-1.632159122
12564	ENSG00000272620.1	antisense	0.20447747	0.244422923
18492	ENSG00000202241.1	misc_RNA	0.241945967	-0.503013939
9016	ENSG00000187957.7	protein_coding	0.401619568	-1.158390425
3666	ENSG00000243173.3	misc_RNA	0.217934864	0.316407486
9192	ENSG00000232328.1	lincRNA	0.270859863	-0.232151998
2937	ENSG00000180867.11	transcribed_processed_pseudogene	0.190608895	3.140840114
1867	ENSG00000231622.1	processed_pseudogene	0.18219776	1.626958788
13271	ENSG00000109163.6	protein_coding	0.177968299	2.668658621
17607	ENSG00000248996.1	antisense	0.186556083	1.461026955
1194	ENSG00000183317.16	protein_coding	0.259542081	1.102589445
14526	ENSG00000251123.1	processed_pseudogene	0.22569276	-0.16995767
6183	ENSG00000227799.1	processed_pseudogene	0.220272282	0.649241253
5617	ENSG00000227047.1	lincRNA	0.229507019	4.891258592
8525	ENSG00000115993.12	protein_coding	0.190688466	0.724549796
15120	ENSG00000248462.1	processed_pseudogene	0.226315612	0.588016588
7248	ENSG00000282785.1	transcribed_unprocessed_pseudogene	0.227809056	0.989744153
5701	ENSG00000143970.16	protein_coding	-0.229945412	0.620349494
255	ENSG00000284744.1	lincRNA	0.172357912	-0.204885063
11945	ENSG00000121864.9	protein_coding	0.18197503	5.905686239
14806	ENSG00000250327.1	processed_pseudogene	0.291393975	-1.226417229
3089	ENSG00000259357.2	antisense	0.261223939	-1.177744402
2550	ENSG00000259834.1	lincRNA	0.194288243	0.200820149
5381	ENSG00000151360.9	protein_coding	0.197789469	0.463357555
5747	ENSG00000186143.11	protein_coding	0.1835956	1.474245866
1848	ENSG00000284928.1	lincRNA	0.179878849	2.765764815
7124	ENSG00000227157.1	lincRNA	-0.206226083	3.899213421
7473	ENSG00000237524.9	protein_coding	0.215232521	1.095045865
18691	ENSG00000112473.17	protein_coding	0.210549138	1.910463919
523	ENSG00000116809.11	protein_coding	0.198099349	-1.294102772
11316	ENSG00000214288.4	processed_pseudogene	0.214036195	2.955226832
2516	ENSG00000134202.10	protein_coding	0.208866074	5.053600373
10495	ENSG00000244130.1	processed_pseudogene	0.17222138	5.710138764
11493	ENSG00000242671.1	lincRNA	0.21064046	1.374342363
12984	ENSG00000188848.15	protein_coding	0.194413911	0.982588177
6769	ENSG00000214336.4	protein_coding	0.21607665	1.346016532
3489	ENSG00000279111.2	protein_coding	0.262287437	0.308218523
11081	ENSG00000276626.1	misc_RNA	0.181774218	0.109723895
9524	ENSG00000251576.1	lincRNA	0.209853411	3.183884878
16623	ENSG00000249577.1	processed_pseudogene	-0.267039804	0.923096079
8022	ENSG00000224490.5	processed_transcript	0.166722984	1.84149466
7781	ENSG00000121964.14	protein_coding	0.176058843	3.346780269
12903	ENSG00000271958.1	lincRNA	0.206594242	2.957099291
13738	ENSG00000172955.17	protein_coding	0.205381242	1.986145358
2832	ENSG00000270962.1	processed_pseudogene	0.179515831	8.162445626
140	ENSG00000169885.9	protein_coding	0.272256012	-1.437929182
5121	ENSG00000197769.5	protein_coding	0.212664536	0.252389111
1531	ENSG00000225028.1	lincRNA	-0.209765924	5.389997543
11625	ENSG00000174948.5	protein_coding	0.217773811	-0.334996019
7007	ENSG00000277701.4	lincRNA	0.185444317	0.597685048
17151	ENSG00000164284.14	protein_coding	-0.1928867	4.55843728
8597	ENSG00000233459.1	processed_pseudogene	0.195958573	1.343587236
2865	ENSG00000277199.1	lincRNA	-0.185588094	2.144082146
8343	ENSG00000144366.15	protein_coding	-0.194770633	-1.316905662
5763	ENSG00000163795.13	protein_coding	0.172492431	1.893666908
14151	ENSG00000249000.1	lincRNA	0.195991633	0.648883573
16196	ENSG00000241059.2	antisense	0.263058701	-1.198917528
10011	ENSG00000251967.1	snoRNA	0.16942973	5.297850876
1471	ENSG00000232467.2	processed_pseudogene	0.218643115	-1.38216053
920	ENSG00000269971.1	sense_intronic	0.147486588	0.705448612
13615	ENSG00000198189.10	protein_coding	0.179632947	3.801184119
17433	ENSG00000263831.1	miRNA	0.198086579	2.326138245
8749	ENSG00000138376.10	protein_coding	0.202842427	-0.058685755
3377	ENSG00000132680.10	protein_coding	0.216240835	3.125187512
8252	ENSG00000271011.1	antisense	0.360638618	-1.162946838
14829	ENSG00000250590.5	lincRNA	0.211688208	0.672948756
5514	ENSG00000239899.3	misc_RNA	0.241712832	1.010237378
5904	ENSG00000115808.11	protein_coding	-0.178490327	6.838623438
8473	ENSG00000238217.5	lincRNA	-0.218760683	-1.341265119
10174	ENSG00000179564.3	protein_coding	0.304821121	-1.490630535
6853	ENSG00000211625.2	IG_V_gene	0.2206853	0.155022298
9388	ENSG00000227110.6	antisense	0.187845102	-1.083977573
1996	ENSG00000213579.3	processed_pseudogene	0.206609827	-0.817636167
3481	ENSG00000173285.4	protein_coding	0.170901979	1.419743936
10029	ENSG00000275940.1	processed_pseudogene	0.158443995	5.274509222
9344	ENSG00000227588.2	lincRNA	-0.190058702	4.361543901
9262	ENSG00000144504.15	protein_coding	0.168058943	0.926679651
14463	ENSG00000151790.8	protein_coding	0.213188016	-1.398022314
7626	ENSG00000226831.1	processed_pseudogene	0.231429649	0.84363739
8531	ENSG00000224299.1	unprocessed_pseudogene	0.173229625	2.204325474
1904	ENSG00000232048.2	processed_pseudogene	0.18773605	1.278119246
15036	ENSG00000251549.2	unprocessed_pseudogene	0.175296027	1.689009815
12542	ENSG00000284847.1	unprocessed_pseudogene	0.18494098	-0.468131158
4843	ENSG00000269934.1	antisense	0.183316384	2.577248394
11457	ENSG00000163714.17	protein_coding	0.183737759	1.031430647
3189	ENSG00000203786.6	protein_coding	0.190565482	3.011826606
9865	ENSG00000188846.13	protein_coding	0.249334587	-1.343039654
5930	ENSG00000232973.12	antisense	0.300068445	-1.586110951
602	ENSG00000280222.1	TEC	0.242295243	-1.529466263
8747	ENSG00000224257.1	sense_intronic	0.233445882	-1.614962365
8129	ENSG00000172845.14	protein_coding	0.206478016	-0.365559407
3368	ENSG00000163374.19	protein_coding	0.17162968	0.360148172
4927	ENSG00000223393.1	antisense	0.194791653	1.257741108
11822	ENSG00000240128.1	processed_pseudogene	0.207471302	-1.320270122
4453	ENSG00000224114.1	processed_pseudogene	0.22528429	0.385670864
11359	ENSG00000240668.1	processed_pseudogene	0.196776428	-1.450511983
11996	ENSG00000278026.1	misc_RNA	0.204778143	-1.232662457
11167	ENSG00000222627.1	snRNA	-0.184082127	0.930762681
8149	ENSG00000236449.1	antisense	-0.204888211	0.236545922
6302	ENSG00000115507.9	protein_coding	-0.190409397	4.919172543
4856	ENSG00000181201.3	unitary_pseudogene	0.235164386	0.510973507
9992	ENSG00000172215.5	protein_coding	0.242384161	-1.556999068
14245	ENSG00000250141.1	lincRNA	0.232352921	0.567707517
6528	ENSG00000163170.11	protein_coding	0.162245207	2.864561984
14605	ENSG00000201818.1	misc_RNA	0.265914192	-1.417498352
8296	ENSG00000232430.1	processed_pseudogene	0.213602957	1.483121535
15877	ENSG00000285804.1	antisense	0.224680506	-0.910921257
6092	ENSG00000277396.1	misc_RNA	0.267204942	0.781258593
15581	ENSG00000152684.10	protein_coding	0.192047357	-0.553662513
9991	ENSG00000163820.14	protein_coding	0.21365355	-0.772475493
15840	ENSG00000198237.8	unprocessed_pseudogene	0.20397897	-1.317641235
17227	ENSG00000213433.5	transcribed_processed_pseudogene	0.197388312	-0.312111496
1614	ENSG00000224255.2	processed_pseudogene	0.235549643	1.28618386
554	ENSG00000233421.4	lincRNA	0.204538956	3.388179336
9989	ENSG00000173585.15	protein_coding	0.185212732	0.409314498
10927	ENSG00000151577.12	protein_coding	0.186758222	0.488103015
2980	ENSG00000252744.1	misc_RNA	0.162689737	2.132730727
5623	ENSG00000143869.6	protein_coding	0.241590442	-1.230124036
5813	ENSG00000229224.1	antisense	0.188394432	-0.378388374
18942	ENSG00000237107.3	processed_pseudogene	0.156203536	4.744311937
14190	ENSG00000250977.1	lincRNA	0.201992554	-1.395392319
2672	ENSG00000134259.3	protein_coding	0.160489853	1.416192965
16639	ENSG00000248634.1	sense_intronic	0.165695552	0.124019009
18661	ENSG00000237541.3	protein_coding	0.179162618	0.588080585
8074	ENSG00000213981.8	antisense	0.214114834	-0.029786899
16174	ENSG00000250437.1	lincRNA	0.247366868	-1.504497531
1313	ENSG00000204060.7	protein_coding	0.175562728	0.406838028
9151	ENSG00000248705.1	unprocessed_pseudogene	0.209513161	0.247967217
1654	ENSG00000236723.2	antisense	-0.179883386	5.675832258
17835	ENSG00000238158.6	sense_overlapping	0.180460874	4.010043043
12047	ENSG00000178084.1	protein_coding	0.201660027	-0.688070187
14956	ENSG00000281560.1	lincRNA	-0.202931326	-0.989814593
2046	ENSG00000122420.9	protein_coding	0.166214229	0.719272678
11563	ENSG00000144895.11	protein_coding	0.27956392	-0.608734401
17703	ENSG00000229721.3	processed_pseudogene	0.233683532	-0.285224475
14213	ENSG00000249302.2	processed_pseudogene	0.148033951	0.73586146
13485	ENSG00000156234.7	protein_coding	0.161617457	2.485011351
7094	ENSG00000115590.13	protein_coding	0.182283246	3.849797198
12771	ENSG00000152990.13	protein_coding	0.158007414	1.594280476
15496	ENSG00000112964.13	protein_coding	0.164659867	2.223416613
8273	ENSG00000226564.1	processed_pseudogene	0.252643763	-1.363388084
718	ENSG00000237200.1	sense_intronic	-0.237650359	0.667023405
6394	ENSG00000273398.6	protein_coding	-0.207832177	0.999439455
15111	ENSG00000207312.1	snRNA	0.188422317	3.223940292
6972	ENSG00000144021.2	protein_coding	0.176023945	0.64465303
13774	ENSG00000248161.5	lincRNA	0.216183224	2.823444775
1159	ENSG00000214193.10	protein_coding	0.173366526	1.494147953
7904	ENSG00000153234.13	protein_coding	0.187357026	2.038604228
1799	ENSG00000234088.1	processed_pseudogene	0.226849743	-1.196987803
2919	ENSG00000271121.2	processed_pseudogene	-0.157812625	4.110828824
17511	ENSG00000253959.1	lincRNA	0.17894296	0.775139788
2023	ENSG00000036549.12	protein_coding	0.218059689	-1.094906116
18531	ENSG00000285647.1	lincRNA	-0.196845755	3.904158913
5822	ENSG00000207187.1	snoRNA	0.198731443	-1.196924836
7196	ENSG00000196228.3	protein_coding	0.15943511	0.613626168
17807	ENSG00000232999.1	unprocessed_pseudogene	-0.236594351	-1.315393507
13458	ENSG00000118804.8	protein_coding	0.198125303	0.25243304
1989	ENSG00000224127.1	antisense	0.19388379	3.428568045
603	ENSG00000230035.2	antisense	0.21343647	4.701625198
18036	ENSG00000263712.1	miRNA	0.211124688	-0.026034374
11640	ENSG00000248772.1	unprocessed_pseudogene	-0.217929816	0.669948801
15082	ENSG00000150753.11	protein_coding	0.198514763	0.528766146
116	ENSG00000215915.9	protein_coding	0.175649483	0.101119542
8877	ENSG00000163521.15	protein_coding	0.180999348	3.925843594
15045	ENSG00000250389.1	processed_pseudogene	0.224262479	-0.440519657
18548	ENSG00000198563.13	protein_coding	0.206802462	-0.924247863
1941	ENSG00000226088.1	antisense	0.203336734	-1.299619951
12141	ENSG00000073849.14	protein_coding	-0.21654171	5.414954629
8295	ENSG00000077232.17	protein_coding	0.228087359	-1.439470304
3962	ENSG00000116191.17	protein_coding	0.191687305	-1.082459343
12009	ENSG00000228766.3	processed_pseudogene	0.228638624	-1.437597073
10507	ENSG00000199469.1	snRNA	0.199858058	4.260280693
5306	ENSG00000276520.1	processed_pseudogene	-0.181336326	5.873232595
8896	ENSG00000072182.12	protein_coding	0.209255887	-0.857610204
14613	ENSG00000229204.3	processed_pseudogene	0.218441651	2.047415361
9706	ENSG00000144644.14	protein_coding	0.213912474	-1.421930547
13213	ENSG00000265829.1	miRNA	0.171072205	2.386927066
14018	ENSG00000253825.1	lincRNA	0.223623946	-1.522030337
